rowid	retrieved	component	gene	domain	cath	kingdom	host	enzyme_name	substrate	EC	reference	pazy_accession	BLAST_link	pdb_accession	uniprot_accession	retrieved_name	retrieved_host	synthesized	enzymatic_activity
92	P00780.2	21	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Lederbergia (Bacillus) licheniformis	Subtilisin; subC	PLA	EC 3.4.-	Oda, 2000	P00780	P00780.2	-	P00780	Subtilisin Carlsberg	-	FALSE	TRUE
93	P06873.2	21	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Eukaryota	Parengyodontium album	Proteinase K	PLA	EC 3.4.21.64		P06873	P06873.2	5KXVA	P06873	Tritirachium alkaline proteinase	-	FALSE	TRUE
94	P29599.1	21	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Lederbergia (Bacillus) lentus	Subtilisin BL	PLA	EC 3.4.-	Oda, 2000	P29599	P29599.1	-	P29599	Subtilisin BL	-	FALSE	TRUE
95	P29600.1	21	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Lederbergia (Bacillus) lentus	Subtilisin; Savinase	PLA	EC 3.4.-	Oda, 2000	P29600	P29600.1	-	P29600	Subtilisin Savinase	-	FALSE	TRUE
96	ACY56506.1	22	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Microbacterium hydrocarbonoxydans	PURase	PUR	-	Kang, 2021;	GU116480	GU116480	-	E3SVS0	gamma-lactamase	Microbacterium hydrocarbonoxydans	FALSE	TRUE
97	CEE00769.1	22	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Caldibacillus thermoamylovorans	Est8_89	PET	EC:4.2.99.20	Yan, 2024	CEE00769.1	CEE00769.1	-	A0A090KQ36	putative esterase YtxM	Caldibacillus thermoamylovorans	TRUE	TRUE
98	WP_013956815.1	22	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Cuprivadus necator ATC17699	phaZ-like	PHA	-	Brigham,2012	Chen, 2024	-	-	G0EX11	poly(3-hydroxyalkanoate) depolymerase	Cupriavidus necator	FALSE	TRUE
99	ADH43200.1	23	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Bacillus subtilis 4P3-11	BsEstB	PET	EC 3.1.1.1	Ribitsch,2011	ADH43200.1	ADH43200.1	-	D7R6G8	para-nitrobenzylesterase	Bacillus subtilis	FALSE	TRUE
100	AKJ87216.1	23	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Metagenome	Metagenome	GEN0105	PLA	EC 3.1.1.1	Hajighasemi, 2018	AKJ87216	-	-	A0A0G3FJ39	hypothetical protein	uncultured organism	FALSE	TRUE
101	ALS54749.1	23	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Clostridium hathewayi DSM-13479	Chath_Est1	PBAT	-	Perz, 2016	ALS54749.1	ALS54749.1	-	-	esterase	synthetic construct	FALSE	TRUE
102	BAA76305.1	23	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Comamonas acidovorans TB-35	PudA	PLA; PUR	EC 3.1.1.1	Nakajima-Kambe, 1995 ; Nakajima-Kambe, 1997 ; Akutsu, 1998 ; Nomura, 1998; Shigeno-Akutsu, 1999; Akutsu, 1998	BAA76305.1	BAA76305.1	-	Q9WX47	polyurethane esterase	Delftia acidovorans	FALSE	TRUE
103	MCS7036334.1	23	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Metagenome	Metagenome	Enzyme 101 like	PET	-	Erickson, 2022	YNPsite06_CeleraDRAFT_263770	-	-	-	carboxylesterase family protein	Saprospiraceae bacterium	FALSE	TRUE
104	P20261.3	23	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Eukaryotic	Diutina (Candida) rugosa	Lip1; Lip5	PUR	-	Gautam, 2007	P20261	P20261.3	-	-	Lipase 1	-	FALSE	TRUE
105	SIP63154.1	23	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Metagenome	Metagenome-derived	CE_Ubrb	PUR	-	Ufarté, 2017	A0A2I2K6T5	SIP63154.1	-	A0A2I2K6T5	esterase	uncultured bacterium	FALSE	TRUE
106	UNZ81746.1	23	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Chloroflexi bacterium	IS103	PET	-	Distaso, 2023	UNZ81746	UNZ81746	-	-	alpha/beta hydrolase	Chloroflexi bacterium enrichment culture	FALSE	TRUE
107	UNZ81748.1	23	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Chloroflexi bacterium	IS123	PET	-	Distaso, 2023	UNZ81748	UNZ81748	-	-	alpha/beta hydrolase	Chloroflexi bacterium enrichment culture	FALSE	TRUE
108	WID88783.1	23	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Dietzia kunjamensis	Dkca1	PET	-	Singh, 2024	WID88783.1	WID88783.1	-	-	carboxylesterase	Dietzia kunjamensis	FALSE	TRUE
109	WNZ22885.1	23	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Metagenome	Metagenome	Enzyme 102 like	PET	-	Erickson, 2022	YNP6_02150	-	-	A0AA96WDD6	carboxylesterase family protein	Leptolyngbya sp. NK1-12	FALSE	TRUE
110	WP_015255658.1	23	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Thermobacillus composti KWC4	Tcca	PBAT	-	Wu, 2023	L0EF70	WP_015255658.1	-	L0EF70	carboxylesterase/lipase family protein	Thermobacillus	FALSE	TRUE
111	WP_041847557.1	23	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Caldibacillus thermoamylovorans	Est18_23	PET	EC 3.1.1.-	Yan, 2024	WP_041847557.1	WP_041847557.1	-	A0A0D0F5A6	carboxylesterase/lipase family protein	Caldibacillus thermoamylovorans	FALSE	TRUE
112	AKJ87264.1	24	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Metagenome	Metagenome	MGS0156	PLA	EC 3.1.1.1	Hajighasemi, 2018	AKJ87264	-	5D8M	A0A0G3FEJ8	hypothetical protein	uncultured organism	FALSE	TRUE
113	AKZ20828.1	25	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Clostridium botulinum ATCC3502	Cbotu_EstA	PET; PBAT	-	Perz, 2015; Perz et al., 2015	AKZ20828.1	AKZ20828.1	5AH1	-	esterase	synthetic construct	FALSE	TRUE
114	AKZ20829.1	25	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Clostridium botulinum ATCC3502	Cbotu_EstB	PBAT	-	Perz, 2015	AKZ20829.1	AKZ20829.1	-	-	esterase	synthetic construct	FALSE	TRUE
115	BAF57210.1	25	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Metagenome	Metagenome	PlaM4 depolymerase	PLA	EC 3.1.1.1	Mayumi, 2008	AB302136; A4UZ10	BAF57210.1	-	A4UZ10	PLA depolymerase	uncultured bacterium	TRUE	TRUE
116	BAF57211.1	25	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Metagenome	Metagenome	PlaM5 depolymerase	PLA	EC 3.1.1.1	Mayumi, 2008	A4UZ11	BAF57211.1	-	A4UZ11	PLA depolymerase	uncultured bacterium	TRUE	TRUE
117	WP_007937185.1	25	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Pelosinus fermentans DSM-17108	PFL1	PBAT	-	Biundo, 2016	EIW29778.1	EIW29778.1	-	I9L7C1	triacylglycerol lipase	Pelosinus	FALSE	TRUE
118	WP_108898452.1	25	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Caldibacillus thermoamylovorans	Lip4_120	PET	EC:3.1.1.3	Yan, 2024	WP_108898452.1	WP_108898452.1	-	-	triacylglycerol lipase	Caldibacillus thermoamylovorans	FALSE	TRUE
119	APJ12152.1	26	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Bacillus safensis	LipMRD9	PET	EC 3.1.1.3	Vidal, 2024	APJ12152.1	APJ12152.1	-	-	esterase	Bacillus safensis	FALSE	TRUE
120	BAC67195.1	26	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Paenibacillus amylolyticus TB13	PLaA	PLA	EC 3.1.1.1	Akutsu-Shigeno, 2003, Teeraphatpornchai, 2003	Q83VDO	BAC67195.1	-	Q83VDO	PLA depolymerase	Paenibacillus amylolyticus	FALSE	TRUE
121	BAV72205.1	26	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Bacillus pumilus	PBATHBp	PBAT	-	Muroi, 2017	A0A1E1FNX8	BAV72205.1	-	A0A1E1FNX8	PBAT hydrolase	Bacillus pumilus	FALSE	TRUE
122	BAG32152.1	27	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Eukarya	Talaromyces funiculosus	PHAase	PHA	-	Miyazaki, 2000; Brucato, 1991	B2NHN2	BAG32152.1	2D81	B2NHN2	poly(3-hydroxybutyrate) depolymerase	Talaromyces funiculosus	FALSE	TRUE
123	KFJ10595.1	28	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Commamonas acidivorans YM1609	PhaZCac	PHA	-	Kasuya, 1997; Kasuya 1999	A0A080NJE8	KFJ10595.1	-	-	D-(-)-3-hydroxybutyrate oligomer hydrolase	Delftia acidovorans	FALSE	TRUE
124	Q0K9H3.1	28	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Cuprivadus necator ATC17699	PhaY1	PHA	-	Brigham,2012	Q0K9H3	Q0K9H3	-	Q0K9H3	D-(-)-3-hydroxybutyrate oligomer hydrolase	-	FALSE	TRUE
125	O82950	29	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Pseudomonas stutzeri	PhaZst	PHA	-	Ohura, 1999, Kasuya 1999	O82950	O82950	-	O82950	Polyhydroxybutyrate depolymerase	Stutzerimonas stutzeri	TRUE	TRUE
126	P94146	30	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Alcaligenes faecalis	PhaZAfa	PHA	-	Kasuya, 1999	P94146	P94146	-	P94146	Poly(3-hydroxybutyrate) depolymerase	Alcaligenes faecalis	FALSE	TRUE
127	Q51871	30	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Paucimonas lemoignei	PhaZ5	PHA	-	Braaz, 2002	Q51871	Q51871	-	Q51871	Poly(3-hydroxybutyrate) depolymerase A	Paucimonas lemoignei	FALSE	TRUE
128	Q0JYJ1	31	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Cuprivadus necator ATC17699	PhaZ7	PHA	-	Sznajder, 2014	Q0JYJ1	Q0JYJ1	-	Q0JYJ1	PHB depolymerase family esterase	Cupriavidus necator H16	FALSE	TRUE
129	Q0JZG9	31	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Cuprivadus necator ATC17699	PhaZ6	PHA	-	Abe, 2005; Sznajder, 2014	Q0JZG9	Q0JZG9	-	Q0JZG9	PHB depolymerase family esterase	Cupriavidus necator H16	FALSE	TRUE
130	Q0VLQ1	32	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Alcanivorax borkumensis	ABO2449, esterase	PLA	EC 3.1.1.1	Hajhigasemi, 2016	Q0VLQ1	Q0VLQ1	-	Q0VLQ1	alpha/beta fold family	Alcanivorax borkumensis SK2	FALSE	TRUE
131	Q4W8C9	33	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Cuprivadus necator ATC17699	PhaY2	PHA	-	Brigham,2012	Q0KBZ6	Q0KBZ6	-	Q0KBZ6	3-hydroxybutyrate-oligomer hydrolase	Cupriavidus necator H16	FALSE	TRUE
132	Q939Q9	34	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Paucimonas lemoignei	PhaZ7	PHA	-	Jendrossek, 2013	Q939Q9	Q939Q9	4BTV	Q939Q9	Lipase (Class 2)	Paucimonas lemoignei	FALSE	TRUE
133	RMD69273.1	35	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Metagenome	Metagenome	Enzyme 305 like	PET	-	Erickson, 2022	GxsBSedJan11_10251181	-	-	-	dienelactone hydrolase	Cyanobacteria bacterium J149	FALSE	TRUE
134	WP_010659881.1	35	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Pseudomonadota bacterium	dsPETase06	PET	-	Jin, 2024	WP_010659881.1	WP_010659881.1	-	A0A6I0DYC0	serine aminopeptidase domain-containing protein	Brucella	FALSE	TRUE
135	WP_034767800.1	36	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Caldibacillus thermoamylovorans	Ces19_14	PET	EC 3.1.1.1	Yan, 2024	WP_034767800.1	WP_034767800.1	-	A0A090IVG8	carboxylesterase	Bacillaceae	FALSE	TRUE
136	WP_041846030.1	37	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Caldibacillus thermoamylovorans	Est11_32	PET	-	Yan, 2024	WP_041846030.1	WP_041846030.1	-	A0A0D0EIL0	prolyl oligopeptidase family serine peptidase	Bacillaceae	FALSE	TRUE
137	WP_085690612.1	38	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Pseudomonas sp.	MG8	PET	EC 3.1.1.1	Edwards et al., 2022	WP_085690612	WP_085690612.1	-	-	alpha/beta hydrolase	Pseudomonas	FALSE	TRUE
138	WP_108898647.1	39	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Caldibacillus thermoamylovorans	Ces39_5	PET	EC 3.1.1.1	Yan, 2024	WP_108898647.1	WP_108898647.1	-	-	carboxylesterase	Bacillaceae	FALSE	TRUE
139	4OYY	2	Cut	Alpha/Beta Hydrolase	3.40.50.1820	Eukarya	Humicola insolens	HiC	PET; PBAT	EC 3.1.1.74	Ronkvist, 2009, Carniel, 2017; Brackmann, 2023; Perz, 2016	A0A075B5G4	4OYY	4OYL	A0A075B5G4	A Cutinase	-	FALSE	TRUE
140	A0A060N399	2	Cut	Alpha/Beta Hydrolase	3.40.50.1820	Eukaryota	Paraphoma sp. B47-9	PLAse	PLA	-	Suzuki, 2014	A0A060N399	-	-	A0A060N399	Cutinase	Paraphoma sp. B47-9	FALSE	TRUE
141	A0A060N5H2	2	Cut	Alpha/Beta Hydrolase	3.40.50.1820	Eukaryota	Cryptococcus magnus	CmCut	PLA	-	Ueda, 2021	A0A060N5H2	-	-	A0A060N5H2	Cutinase-like enzyme	Cryptococcus sp.	FALSE	TRUE
142	A0A0P0ZE81	2	Cut	Alpha/Beta Hydrolase	3.40.50.1820	Eukaryota	Cryptococcus flavus	GB-1; CLE	PLA	-	Ueda, 2021	A0A0P0ZE81	-	-	A0A0P0ZE81	Cutinase-like enzyme	Saitozyma flava	FALSE	TRUE
143	AAA33335.1	2	Cut	Alpha/Beta Hydrolase	3.40.50.1820	Eukarya	Fusarium solani	FsC	PET	EC 3.1.1.74	Silva, 2005	AAA33335.1	AAA33335.1	1AGY	P00590	cutinase	Fusarium solani	FALSE	TRUE
144	BAC67242.1	2	Cut	Alpha/Beta Hydrolase	3.40.50.1820	Eukaryota	Cryptococcus sp.	S-2; CLE; cutinase	PLA	EC:3.1.1.74	Masaki, 2005	AB102945.1; Q874E	BAC67242.1	-	Q874E9	cutinase-like protein	Cryptococcus sp. S-2	FALSE	TRUE
145	BAN66731.1	2	Cut	Alpha/Beta Hydrolase	3.40.50.1820	Eukaryota	Pseudozyma (Candida) antarctica	PaE; PaCLE1	PLA	-	Shinozaki, 2012, Ueda,2021	AB739034	-	-	S6BC01	cutinase-like enzyme	Moesziomyces antarcticus	FALSE	TRUE
146	BCL64964.1	2	Cut	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Rhodococcus fascians NKCM2511	PBATHRF; pbath	PBAT	-	Soulenthone, 2021	A0A7I8E2Z4	BCL64964.1	-	A0A7I8E2Z4	PBAT hydrolase	Rhodococcus sp. (in: high G+C Gram-positive bacteria)	FALSE	TRUE
147	ESK97883.1	2	Cut	Alpha/Beta Hydrolase	3.40.50.1820	Eukarya	Moniliophthora roreri	MRCUT1	PET	EC 3.1.1.74	Vázquez-Alcántara, 2021	ESK97883	ESK97883	-	V2XFA5	cutinase	Moniliophthora roreri MCA 2997	FALSE	TRUE
148	EXK81749.1	2	Cut	Alpha/Beta Hydrolase	3.40.50.1820	Eukarya	Fusarium oxysporum	FoCut5a	PET	EC 3.1.1.74	Dimarogona, 2015	X0BTD8	EXK81749	5AJH	X0BTD8	cutinase 3	Fusarium oxysporum f. sp. raphani 54005	FALSE	TRUE
149	KAH7127633.1	2	Cut	Alpha/Beta Hydrolase	3.40.50.1820	Eukarya	Dactylonectria macrodidyma	DmC	PET	EC 3.1.1.74	Brinch-Pedersen, 2024	KAH7127633	KAH7127633	-	A0A9P9DYB3	cutinase	Dactylonectria macrodidyma	FALSE	TRUE
150	P52956.1	2	Cut	Alpha/Beta Hydrolase	3.40.50.1820	Eukaryota	Aspergillus oryzae ATCC42149	CutL1	PLA; PBS	EC:3.1.1.74	Maeda, 2005, Oda, 2000	P52956	P52956.1	-	P52956	Cutin hydrolase 1	-	FALSE	TRUE
151	Q99174.1	2	Cut	Alpha/Beta Hydrolase	3.40.50.1820	Eukarya	Fusarium solani	FSC	PBS	-	Mao,2015; Hu, 2016	Q99174	Q99174	-	-	Cutin hydrolase	Streptomyces scabiei	FALSE	TRUE
152	QEX94755.1	2	Cut	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Streptomyces scabiei	Sub1	PET	-	Jabloune, 2020	QEX94755.1	QEX94755.1	-	A0A5P3LVN0	Cutinase	Streptomyces scabiei	FALSE	TRUE
153	UNZ22463.1	2	Cut	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Rhodococcus sp.	Rcut; PBATh; OL660765	PET	-	Won, 2022	UNZ22463.1	UNZ22463.1	-	-	cutinase	Rhodococcus sp.	FALSE	TRUE
154	WKA69984.1	2	Cut	Alpha/Beta Hydrolase	3.40.50.1820	Eukaryotic	Cladosporium sp. P7	CpCut1-like	PUR	-	Liu, 2024	-	-	-	-	cutinase	Cladosporium sp.	FALSE	TRUE
155	XAQ58225.1	2	Cut	Alpha/Beta Hydrolase	3.40.50.1820	Eukaryotic	Blastobotrys sp. G-9	BaCut1-like	PUR	-	Jiang, 2024	-	-	-	-	cutinase	Blastobotrys sp. G-9	FALSE	TRUE
156	Q0K2G9	3	PhaZ	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Cuprivadus necator ATC17699	PhaZ5	PHA	-	Brigham,2012	Q0K2G9	Q0K2G9	-	Q0K2G9	poly(3-hydroxybutyrate) depolymerase	Cupriavidus necator H16	FALSE	TRUE
157	Q0K4D5	3	PhaZ	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Cuprivadus necator ATC17699	PhaZ3	PHA	-	York, 2003, Brigham,2012	Q0K4D5	Q0K4D5	-	Q0K4D5	poly(3-hydroxybutyrate) depolymerase	Cupriavidus necator H16	FALSE	TRUE
158	Q0K7T2	3	PhaZ	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Cuprivadus necator ATC17699	PhaZ2	PHA	-	York, 2003	Q0K7T2	Q0K7T2	-	Q0K7T2	poly(3-hydroxybutyrate) depolymerase	Cupriavidus necator H16	FALSE	TRUE
159	Q0KCI0	3	PhaZ	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Cuprivadus necator ATC17699	PhaZ1	PHA	-	Handrick, 2000, Saegusa, 2001	Q0KCI0	Q0KCI0	-	Q0KCI0	poly(3-hydroxybutyrate) depolymerase	Cupriavidus necator H16	FALSE	TRUE
160	Q7WXF6	3	PhaZ	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Cuprivadus necator ATC17699	PhaZ4	PHA	-	Brigham,2012	Q7WXF6	Q7WXF6	-	Q7WXF6	PHB depolymerase	Cupriavidus necator H16	FALSE	FALSE
161	AAD22743.1	4	Pue	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Pseudomonas chloroaphis	PueA	PUR	-	Howard, 1999; Ruiz, 1999; Howard, 2001; Howard, 2007; Stern, 2000	AAD22743.1	AAD22743.1	-	Q9X3C0	polyurethanase esterase A	Pseudomonas chlororaphis	FALSE	TRUE
162	AAF01331.1	4	Pue	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Pseudomonas chloroaphis	PueB	PUR	-	Howard, 1999; Ruiz, 1999; Howard, 2001; Howard, 2007; Stern, 2000	AAF01331.1	AAF01331.1	-	Q9R9H2	polyurethanase esterase B	Pseudomonas chlororaphis	FALSE	TRUE
163	AAF66684.1	4	Pue	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Pseudomonas fluorescens	PulA	PUR	-	Howard, 1998; Vega, 1999	AAF66684.1	AAF66684.1	-	Q9LAB9	polyurethanase lipase A	Pseudomonas fluorescens	FALSE	TRUE
164	AAY92471.1	4	Pue	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Pseudomonas protegens strain Pf-5	PueA	PUR	-	Hung, 2016	AAY92471.1	AAY92471.1	-	Q4KBS6	polyurethanase A	Pseudomonas protegens Pf-5	FALSE	TRUE
165	AAY92474.2	4	Pue	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Pseudomonas protegens strain Pf-5	PueB	PUR	-	Hung, 2016	AAY92474.2	AAY92474.2	-	Q4KBS3	polyurethanase B	Pseudomonas protegens Pf-5	FALSE	TRUE
166	BAF57212.1	5	PlaM	Alpha/Beta Hydrolase	3.40.50.1820	Metagenome	Metagenome	PlaM7 depolymerase	PLA	EC 3.1.1.1	Mayumi, 2008	AB302138; A4UZ12	BAF57212.1	-	A4UZ12	PLA depolymerase	uncultured bacterium	FALSE	TRUE
167	BAF57213.1	5	PlaM	Alpha/Beta Hydrolase	3.40.50.1820	Metagenome	Metagenome	PlaM8 depolymerase	PLA	EC 3.1.1.1	Mayumi, 2008	A4UZ13	BAF57213.1	-	A4UZ13	PLA depolymerase	uncultured bacterium	FALSE	TRUE
168	BAF57214.1	40	PlaM	Alpha/Beta Hydrolase	3.40.50.1820	Metagenome	Metagenome	PlaM9 depolymerase	PLA	EC 3.1.1.1	Mayumi, 2008	AB302140	BAF57214.1	-	A4UZ14	PLA depolymerase	uncultured bacterium	FALSE	TRUE
169	CAE26953.1	6	Rpla	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Rhodopseudomonas palustris	RPA1511, esterase	PLA	EC 3.1.1.1	Hajhigasemi, 2016; Xie, 2024	Q6N9M9; RPA1511	CAE26953.1	4PSU	Q6N9M9	Alpha/beta hydrolase fold	Rhodopseudomonas palustris CGA009	FALSE	TRUE
170	P41365	7	Mors	Alpha/Beta Hydrolase	3.40.50.1820	Eukarya	Pseudozyma antarctica	lipase B; CalB	PET; PUR	EC 3.1.1.3	Ronkvist, 2009, Carniel, 2017; Brackmann, 2023	LIPB_PSEA2	LIPB_PSEA2	1TCA	LIPB_PSEA2	Lipase B	Pseudozyma antarctica	FALSE	TRUE
171	AGT96414.1	8	NylB	DD-peptidase/beta-lactamase 	3.40.710.10	Metagenome	Marine metagenome	MGS0105 (KC986400)	PLA	EC 3.1.1.1	Tchigvintsev, 2015	AGT96414.1	AGT96414.1	-	T1W153	esterase	uncultured bacterium	FALSE	TRUE
172	AHG30919.1	41	NylB	DD-peptidase/beta-lactamase 	3.40.710.10	Metagenome	Marine metagenome	MGS0010 (KF801579)	PLA	EC 3.1.1.1	Tchigvintsev, 2015	AHG30919.1	AHG30919.1	-	W0M2H4	hypothetical protein	gamma proteobacterium enrichment culture clone L-Tri-Mess-8_orf1	FALSE	TRUE
173	P07061.1	42	NylB	DD-peptidase/beta-lactamase 	3.40.710.10	Bacteria	Paenarthrobacter ureafaciens K172	NylB	PA	-	Kinoshita, 1975;Negoro, 1992; Bell, 2024	NYLB_FLASK	P07061.1	2ZLY	NYLB_FLASK	6-aminohexanoate-dimer hydrolase	-	FALSE	TRUE
174	UNZ81747.1	43	NylB	DD-peptidase/beta-lactamase 	3.40.710.10	Bacteria	Dehalococcoidia bacterium	IS113	PET	-	Distaso, 2023	UNZ81747	UNZ81747	-	-	beta-lactamase	Dehalococcoidia bacterium enrichment culture	FALSE	TRUE
175	A0A7W8QII1	9	NylC	L-amino peptidase D-ALA esterase/amidase	3.60.70.12	Bacteria	Nocardiopsis composta	Nc-NylC	PA	-	Bell, 2024	A0A7W8QII1	A0A7W8QII1	-	A0A7W8QII1	L-aminopeptidase/D-esterase-like protein	Nocardiopsis composta	FALSE	TRUE
176	A0A840P940	9	NylC	L-amino peptidase D-ALA esterase/amidase	3.60.70.12	Bacteria	Thermocatellispora tengchongensis	Tt-NylC	PA	-	Bell, 2024	A0A840P940	A0A840P940	-	A0A840P940	L-aminopeptidase/D-esterase-like protein	Thermocatellispora tengchongensis	FALSE	TRUE
177	KQR39103.1	9	NylC	L-amino peptidase D-ALA esterase/amidase	3.60.70.12	Bacteria	Microbacterium sp.	M-NylC	PA	-	Bell, 2024	KQR39103	KQR39103	-	A0A0Q5L8W0	6-aminohexanoate hydrolase	Microbacterium sp. Leaf159	FALSE	TRUE
178	Q1EPR4.1	9	NylC	L-amino peptidase D-ALA esterase/amidase	3.60.70.12	Bacteria	Kocuria sp. KY2	NylC	PA	-	Yasuhira, 2007; Bell, 2024	Q1EPR4	Q1EPR4.1	-	Q1EPR4	6-aminohexanoate-oligomer endohydrolase	-	FALSE	TRUE
179	Q1EPR5.2	9	NylC	L-amino peptidase D-ALA esterase/amidase	3.60.70.12	Bacteria	Agromyces sp. KY5R	NylC	PA	-	Yasuhira, 2007; Bell, 2024	Q1EPR5	Q1EPR5.2	3AXG	Q1EPR5	6-aminohexanoate-oligomer endohydrolase	-	FALSE	TRUE
180	Q79F77.1	9	NylC	L-amino peptidase D-ALA esterase/amidase	3.60.70.12	Bacteria	Paenarthrobacter ureafaciens K172	NylC	PA	-	Kinoshita, 1975;Negoro, 1992; Kakudo, 1993; Bell, 2024	NYLC_FLASK	Q79F77.1	5XYO	NYLC_FLASK	6-aminohexanoate-oligomer endohydrolase	-	FALSE	TRUE
181	AAK11724.1	10	NylA	Amidase signature	3.90.1300.10	Bacteria	Rhodococcus erythropolis MP50	PURase	PUR	-	Kang, 2021;	AY026386	-	-	Q8KRD8	enantioselective amidase	Rhodococcus erythropolis	FALSE	TRUE
182	AAK28498.1	10	NylA	Amidase signature	3.90.1300.10	Bacteria	Agrobacterium tumefaciens d3	AmdA	PUR	-	Kang, 2021; Trott, 2001	AAK28498.1	AAK28498.1	-	Q9AHE8	enantioselective amidase	Agrobacterium tumefaciens	FALSE	TRUE
183	AGT90042.1	10	NylA	Amidase signature	3.90.1300.10	Bacteria	Rhodococcus erythropolis	CCM2595	PUR	-	Kang, 2021;	AGT90042.1	-	-	-	amidase	Rhodococcus erythropolis CCM2595	FALSE	TRUE
184	ANG60415.1	10	NylA	Amidase signature	3.90.1300.10	Bacteria	Lysinibacillus fusiformis SCO2	GatA	PUR	-	Li, 2014; Jia, 2020	ANG60415.1	ANG60415.1	-	A0A173DW34	urethanase	Lysinibacillus fusiformis	FALSE	TRUE
185	ARF18137.1	10	NylA	Amidase signature	3.90.1300.10	Bacteria	Sporosarcina ureae P17a	PURase	PUR	-	Kang, 2021;	ARF18137.1	-	-	-	glutamyl-tRNA amidotransferase	Sporosarcina ureae	FALSE	TRUE
186	BAI44731.1	10	NylA	Amidase signature	3.90.1300.10	Bacteria	Rhodococcus sp. Oct1	OoH	PA	-	Bell, 2024; Asano, 2008	BAI44731	BAI44731.1	-	C9K4Z3	omega-octalactam hydrolase	Rhodococcus sp. Oct1	FALSE	TRUE
